nombre;descripcion;precio;categoria
ELPLP 67;LAMPARA COMPLETA REMPLAZO;$ 105.000;lamparas
ELPLP56;LAMPARA COMPLETA REMPLAZO;$ 115.000;lamparas
ELPLP54;LAMPARA COMPLETA REMPLAZO;$ 115.000;lamparas
ELPLP78;LAMPARA COMPLETA REMPLAZO;$ 115.000;lamparas
ELPLP96;LAMPARA COMPLETA REMPLAZO;$ 125.000;lamparas
ELPLP41;LAMPARA COMPLETA REMPLAZO;$ 105.000;lamparas
ELPLP88;LAMPARA COMPLETA REMPLAZO;$ 135.000;lamparas
ELPLP42;LAMPARA COMPLETA REMPLAZO;$ 115.000;lamparas
ELPLP 96;BULBO REMPLAZO;$ 115.000;bulbos
ELPLP58;LAMPARA COMPLETA REMPLAZO;$ 115.000;lamparas
ELPLP97;LAMPARA COMPLETA REMPLAZO;$ 125.000;lamparas
ELPLP13;BULBO REMPLAZO;$ 80.000;bulbos
ELPLP60;BULBO REMPLAZO;$ 105.000;bulbos
ELPLP95;LAMPARA COMPLETA REMPLAZO;$ 130.000;lamparas
ELPLP79;LAMPARA COMPLETA REMPLAZO;$ 110.000;lamparas
ELPLP97;BULBO REMPLAZO;$ 115.000;bulbos
ELPLP87;BULBO REMPLAZO;$ 115.000;bulbos
ELPLP80;BULBO REMPLAZO;$ 130.000;bulbos
ELPLP79;BULBO REMPLAZO;$ 105.000;bulbos
ELPLP57;BULBO REMPLAZO;$ 95.000;bulbos
